"";"ID";"Commune";"Langue";"Canton";"Poids";"An_Debut";"An_Fin";"F_1";"F_2"
"Bex";5402;"Bex";"Français";"Vaud";0,000628684956267628;1982;1987;0,704657573595588;0,0787492561923162
"Bière";5425;"Bière";"Français";"Vaud";0,000160797305839334;1982;1987;-0,438235454466444;0,402462616120446
"Billens-Hennens";2063;"Billens-Hennens";"Français";"Fribourg";8,85442382760966e-05;1982;1987;-0,293682438643453;-0,893885373612076
"Bioley-Magnoux";5903;"Bioley-Magnoux";"Français";"Vaud";3,48997523276595e-05;1982;1987;-1,98775086790011;-0,882640737055935
"Blonay";5881;"Blonay";"Français";"Vaud";0,000573857667529241;1982;1987;-0,22454009907399;1,1402713332727
"Boécourt";6702;"Boécourt";"Français";"Jura";0,000100177540448353;1982;1987;1,25973152875278;-1,02889449840866
"Bofflens";5747;"Bofflens";"Français";"Vaud";2,91630860856525e-05;1982;1987;-0,446180480427245;-0,689145280845042
"Bogis-Bossey";5705;"Bogis-Bossey";"Français";"Vaud";6,21588447906141e-05;1982;1987;0,402973825027112;0,91903837141235
"Bois-d'Amont";2238;"Bois-d'Amont";"Français";"Fribourg";0,000289231097854153;1982;1987;0,734810981394112;-0,250102741356682
"Boncourt";6774;"Boncourt";"Français";"Jura";0,000210787738193443;1982;1987;1,40011705683102;-0,717714288520017
"Bonfol";6775;"Bonfol";"Français";"Jura";0,000103707411318311;1982;1987;0,643217593746495;-0,864026644923962
"Bonvillars";5551;"Bonvillars";"Français";"Vaud";5,78303181387873e-05;1982;1987;-0,606664711701133;-0,275872308847702
"Borex";5706;"Borex";"Français";"Vaud";9,30767389783586e-05;1982;1987;-0,51164607261994;1,42100372589283
"Bossonnens";2323;"Bossonnens";"Français";"Fribourg";0,000128450435368573;1982;1987;0,578920857552091;-0,582341782516285
"Bottens";5514;"Bottens";"Français";"Vaud";0,000113947685983423;1982;1987;-0,253205644631774;0,206407921062603
"Botterens";2123;"Botterens";"Français";"Fribourg";6,77228071380199e-05;1982;1987;0,767811483060629;0,170123978494331
"Boudry";6404;"Boudry";"Français";"Neuchâtel";0,000528139281764831;1982;1987;0,255522449052609;0,573503927054252
"Bougy-Villars";5426;"Bougy-Villars";"Français";"Vaud";5,00157873795633e-05;1982;1987;-1,27158170328972;1,10090187338617
"Boulens";5661;"Boulens";"Français";"Vaud";3,69840565076366e-05;1982;1987;-0,545267870311656;0,758451021155575
"Bourg-en-Lavaux";5613;"Bourg-en-Lavaux";"Français";"Vaud";0,000717116551841795;1982;1987;-0,646330293163876;0,456789663931295
"Bourg-Saint-Pierre";6032;"Bourg-Saint-Pierre";"Français";"Valais";4,20638771481265e-05;1982;1987;-2,29824385931289;-1,60843318451247
"Bournens";5472;"Bournens";"Français";"Vaud";4,49735314385065e-05;1982;1987;-0,933781029959267;0,1711172119605
"Bourrignon";6703;"Bourrignon";"Français";"Jura";4,32841932411409e-05;1982;1987;0,37866793689465;-0,19625011259399
"Boussens";5473;"Boussens";"Français";"Vaud";7,91971191763691e-05;1982;1987;0,440911748847727;0,784906004905772
"Bovernier";6131;"Bovernier";"Français";"Valais";0,000127158654135502;1982;1987;-1,202291876437;-2,46953222582476
"Bremblens";5622;"Bremblens";"Français";"Vaud";5,42326932102172e-05;1982;1987;-0,0426092013953621;0,790972753976543
"Bretigny-sur-Morrens";5515;"Bretigny-sur-Morrens";"Français";"Vaud";7,40571950167861e-05;1982;1987;-0,75307322030395;0,558527148167762
"Bretonnières";5748;"Bretonnières";"Français";"Vaud";3,65171809575387e-05;1982;1987;-1,02847449247722;0,1442205937173
"Broc";2124;"Broc";"Français";"Fribourg";0,000291960958574265;1982;1987;0,378075291665068;-0,0412532346069471
"Brot-Plamboz";6433;"Brot-Plamboz";"Français";"Neuchâtel";4,11655441931107e-05;1982;1987;-1,63957645697653;-1,49620772127274
"Buchillon";5623;"Buchillon";"Français";"Vaud";8,62324507416367e-05;1982;1987;-0,678543769815862;0,742374786268
"Bulle";2125;"Bulle";"Français";"Fribourg";0,00188076272976021;1982;1987;0,213137425133826;0,0732910206251389
"Bullet";5552;"Bullet";"Français";"Vaud";7,69271380534795e-05;1982;1987;-0,0952153550135609;0,268603367774664
"Bure";6778;"Bure";"Français";"Jura";0,000104532238550114;1982;1987;-0,343412940213467;-1,39184030681444
"Bursinel";5852;"Bursinel";"Français";"Vaud";4,33217579405741e-05;1982;1987;0,237886098370725;0,0413943072075495
"Bursins";5853;"Bursins";"Français";"Vaud";7,67189222909071e-05;1982;1987;-0,173349071056112;1,28806211699943
"Burtigny";5854;"Burtigny";"Français";"Vaud";4,13598073530364e-05;1982;1987;-0,995519746767578;0,00778472932826487
"Bussigny";5624;"Bussigny";"Français";"Vaud";0,000689731885955021;1982;1987;1,01900935377023;0,733860587238436
"Bussy-sur-Moudon";5663;"Bussy-sur-Moudon";"Français";"Vaud";2,5001990665585e-05;1982;1987;-0,0514536686015933;0,856024816923496
"Carouge (GE)";6608;"Carouge (GE)";"Français";"Genève";0,00182519833569605;1982;1987;2,45782715266911;0,85127832334147
"Cartigny";6609;"Cartigny";"Français";"Genève";0,000123084181220119;1982;1987;0,947232428468461;1,86668765100614
"Céligny";6610;"Céligny";"Français";"Genève";8,48166359450497e-05;1982;1987;0,585988119503558;1,51761343458691
